Round	目標順位	目標得点	初期得点	実施日時	アーカイブ
SRM 604	20	466.37	550	2014-01-11 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15837
SRM 604	20	0.0	1000	2014-01-11 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15837
SRM 605	20	249.19	250	2014-01-21 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15838
SRM 605	20	403.84	500	2014-01-21 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15838
SRM 605	20	0.0	1000	2014-01-21 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15838
SRM 606	20	245.17	250	2014-01-29 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15839
SRM 606	20	438.23	500	2014-01-29 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15839
SRM 606	20	566.11	1000	2014-01-29 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15839
SRM 607	20	248.14	250	2014-02-03 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15840
SRM 607	20	459.9	500	2014-02-03 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15840
SRM 607	20	0.0	1000	2014-02-03 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15840
SRM 608	20	275.07	300	2014-02-07 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15841
SRM 608	20	479.41	600	2014-02-07 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15841
SRM 608	20	601.16	1000	2014-02-07 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15841
SRM 609	20	248.66	250	2014-02-15 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15842
SRM 609	20	465.19	500	2014-02-15 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15842
SRM 609	20	771.92	1000	2014-02-15 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15842
SRM 610	20	241.3	250	2014-02-25 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15843
SRM 610	20	451.93	550	2014-02-25 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15843
SRM 610	20	0.0	1000	2014-02-25 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15843
SRM 611	20	242.56	250	2014-03-04 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15844
SRM 611	20	428.65	550	2014-03-04 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15844
SRM 611	20	0.0	1000	2014-03-04 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15844
SRM 612	20	248.79	250	2014-03-11 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15845
SRM 612	20	449.8	500	2014-03-11 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15845
SRM 612	20	406.19	1000	2014-03-11 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15845
SRM 613	20	247.15	250	2014-03-21 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15846
SRM 613	20	414.07	500	2014-03-21 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15846
SRM 613	20	457.25	1000	2014-03-21 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15846
SRM 614	20	248.8	250	2014-03-29 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15847
SRM 614	20	411.18	525	2014-03-29 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15847
SRM 614	20	540.78	1000	2014-03-29 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15847
SRM 615	20	249.38	250	2014-04-04 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15848
SRM 615	20	480.12	550	2014-04-04 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15848
SRM 615	20	716.12	1000	2014-04-04 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15848
SRM 616	20	248.86	250	2014-04-10 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15849
SRM 616	20	515.64	600	2014-04-10 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15849
SRM 616	20	0.0	1000	2014-04-10 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15849
TCO14 Round 1A	20	246.04	250	2014-04-12 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15942
TCO14 Round 1A	20	473.92	500	2014-04-12 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15942
TCO14 Round 1A	20	688.45	1000	2014-04-12 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15942
TCO14 Round 1B	20	199.32	200	2014-04-19 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15950
TCO14 Round 1B	20	449.86	600	2014-04-19 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15950
TCO14 Round 1B	20	590.43	900	2014-04-19 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15950
SRM 617	20	246.68	250	2014-04-21 08:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15850
SRM 617	20	454.46	500	2014-04-21 08:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15850
SRM 617	20	680.87	1000	2014-04-21 08:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15850
SRM 618	20	249.58	250	2014-04-24 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15851
SRM 618	20	480.83	500	2014-04-24 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15851
SRM 618	20	646.19	950	2014-04-24 21:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15851
TCO14 Round 1C	20	249.57	250	2014-04-26 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15958
TCO14 Round 1C	20	446.49	450	2014-04-26 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15958
TCO14 Round 1C	20	845.59	950	2014-04-26 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15958
